SKU,Medication Name,Category,Strength,Dosage Form,Brand Name,Purchase Price (₦),Selling Price (₦),Current Stock,Reorder Level,Batch Number,Supplier,Warehouse Location,Expiry Date
SKU00001,Loratadine,Antihistamine,4mg,Tablet,Juhel,3807,5227.43,179,84,BT895919,Fidson Healthcare,D2,2029-05-28
SKU00002,Dexamethasone,Corticosteroid,100mg,Cream,Neimeth,11865,14569.59,335,21,BT440903,Fidson Healthcare,A3,2029-04-23
SKU00003,Imipenem,Antibiotic,250mg,Injection,May & Baker,19351,25781.49,200,63,BT990205,Swiss Pharma Nigeria,D3,2028-12-21
SKU00004,Sulfadoxine,Antimalarial,200mg,Injection,Swiss Pharma,18034,21094.66,93,85,BT850415,Swiss Pharma Nigeria,D3,2027-08-07
SKU00005,Hydrocortisone,Corticosteroid,20mg,Cream,Juhel,3191,3838.5,250,25,BT617127,Fidson Healthcare,A2,2027-05-30
SKU00006,Pantoprazole,Antifungal,500mg,Capsule,GSK,11247,15744.82,630,37,BT228392,Swiss Pharma Nigeria,B1,2027-12-28
SKU00007,Propylthiouracil,General Medicine,5mg,Capsule,Emzor,18759,28879.35,816,66,BT530950,Drugfield Pharmaceuticals,C2,2026-10-22
SKU00008,Pyrazinamide,Antibiotic,1g,Capsule,Swiss Pharma,14991,18723.5,112,88,BT688962,Swiss Pharma Nigeria,B3,2029-09-15
SKU00009,Gliclazide,Antidiabetic,850mg,Injection,Juhel,3995,5483.53,159,29,BT494391,Drugfield Pharmaceuticals,C1,2027-10-25
SKU00010,Dexamethasone,Corticosteroid,4mg,Cream,May & Baker,10432,16534.32,574,22,BT516253,Emzor Pharmaceuticals,C2,2028-02-02
SKU00011,Clarithromycin,Antibiotic,250mg,Injection,May & Baker,1395,1859.99,276,27,BT720115,Drugfield Pharmaceuticals,C1,2028-06-17
SKU00012,Escitalopram,Psychiatric,10mg,Tablet,Drugfield,19036,24544.59,892,74,BT430645,Swiss Pharma Nigeria,D3,2030-05-21
SKU00013,Montelukast,Respiratory,200mcg,Nebule,Emzor,14821,18171.69,146,87,BT632636,Drugfield Pharmaceuticals,D3,2028-10-07
SKU00014,Quinine,Antimalarial,200mg,Tablet,Neimeth,12976,17134.9,296,32,BT675138,May & Baker Nigeria,C3,2027-08-23
SKU00015,Domperidone,General Medicine,25mg,Tablet,Evans,19206,24827.67,743,25,BT141628,Fidson Healthcare,B3,2028-07-28
SKU00016,Fluoxetine,Psychiatric,5mg,Tablet,Drugfield,17624,26808.77,139,55,BT521716,Emzor Pharmaceuticals,C1,2028-04-20
SKU00017,Rivastigmine,General Medicine,5mg,Tablet,Juhel,12449,17820.36,387,91,BT940955,Evans Medical,B1,2029-02-06
SKU00018,Chlorpheniramine,Antihistamine,10mg,Tablet,Juhel,13567,21588.77,837,49,BT814660,Emzor Pharmaceuticals,B2,2029-03-27
SKU00019,Montelukast,Respiratory,2mg,Tablet,Neimeth,6471,7602.2,889,66,BT805536,Evans Medical,C3,2028-10-28
SKU00020,Digoxin,General Medicine,25mg,Tablet,GSK,12727,20006.92,417,57,BT454597,Fidson Healthcare,D3,2030-02-09
SKU00021,Tamsulosin,General Medicine,5mg,Tablet,Drugfield,18791,29551.77,366,34,BT778729,Fidson Healthcare,D1,2029-04-24
SKU00022,Pregabalin,Antiepileptic,500mg,Capsule,Swiss Pharma,1377,1682.98,24,21,BT377749,Evans Medical,A2,2027-08-10
SKU00023,Diclofenac,NSAID,50mg,Tablet,Neimeth,8688,11021.61,163,66,BT342961,Fidson Healthcare,C2,2028-01-30
SKU00024,Artemether,Antimalarial,20/120mg,Tablet,Fidson,19620,24338.23,402,100,BT193719,Emzor Pharmaceuticals,B1,2028-06-07
SKU00025,Empagliflozin,Antidiabetic,500mg,Tablet,May & Baker,2200,2705.05,542,40,BT329493,Drugfield Pharmaceuticals,A2,2030-03-02
SKU00026,Loratadine,Antihistamine,120mg,Tablet,Fidson,18149,27333.06,116,75,BT127166,Evans Medical,A1,2028-08-30
SKU00027,Ramipril,Antihypertensive,25mg,Tablet,Emzor,783,907.66,554,52,BT755271,Fidson Healthcare,D1,2030-04-29
SKU00028,Tacrolimus,General Medicine,10mg,Tablet,May & Baker,7934,9180.75,827,81,BT853193,Drugfield Pharmaceuticals,A2,2028-07-29
SKU00029,Itraconazole,Antifungal,150mg,Capsule,Emzor,7961,9575.89,645,85,BT296602,Swiss Pharma Nigeria,A2,2029-11-13
SKU00030,Fexofenadine,Antihistamine,4mg,Tablet,Evans,11047,14266.3,356,80,BT349158,Swiss Pharma Nigeria,B3,2028-07-27
SKU00031,Propranolol,Antihypertensive,5mg,Tablet,May & Baker,7123,10518.67,910,90,BT514955,Emzor Pharmaceuticals,D2,2027-01-08
SKU00032,Aspirin,General Medicine,5mg,Capsule,Emzor,11555,18043.49,440,61,BT989317,May & Baker Nigeria,D3,2027-05-02
SKU00033,Brimonidine,General Medicine,25mg,Tablet,Emzor,6516,8999.42,552,63,BT124897,Swiss Pharma Nigeria,C2,2026-11-09
SKU00034,Latanoprost,General Medicine,5mg,Tablet,Fidson,14264,21050.57,741,57,BT289931,Drugfield Pharmaceuticals,D1,2028-09-11
SKU00035,Haloperidol,Psychiatric,50mg,Tablet,Pfizer,13184,19047.41,229,98,BT377573,May & Baker Nigeria,A1,2027-06-15
